survenir,to occur
assaillir,to assail
décrire,to describe
étreindre,to embrace
modérer,to moderate
recevoir,to receive
survivre,to survive
asseoir,to sit down
dédire (se),to retract
étudier,to study
monter,to climb
reconduire,to renew
survoler,to fly over
assister,to attend
déduire,to deduce
évaluer,to evaluate
montrer,to show
reconnaître,to recognize
susciter,to cause
assurer,to assure
défaillir,to faint
éviter,to avoid
moquer,to mock
reconstruire,to rebuild
tapoter,to tap
astreindre,to compel
défaire,to undo
exagérer,to exaggerate
mordre,to bite
recoudre,to sew back on
teindre,to dye
attaquer,to attack
défendre,to defend
exclure,to exclude
moudre,to mill & to grind
recourir,to run again
téléphoner,to call
atteindre,to attain
défricher,to lay 
mouiller,to wet
recouvrir,to recover
tendre,to strain & to stretch & to hand & to extend
attendre,to wait for
dégager,to free
exiger,to demand
mourir,to die
récrire,to rewrite
tenir,to hold
attirer,to attract
déjeuner,to have lunch
exister,to exist
nager,to swim
recueillir,to collect & to gather
tenter,to try & to attempt & to tempt
attraper,to catch
demander,to ask for
expliquer,to explain
naître,to be born
rédiger,to write
terminer,to end
augmenter,to increase
déménager,to move
explorer,to explore
naviguer,to navigate
redire,to repeat
tirer,to pull
avancer,to advance
demeurer,to live & to stay
exprimer,to express
négliger,to neglect
réduire,to reduce
tomber,to fall
aventurer,to venture
démolir,to demolish
faiblir,to weaken
négocier,to negotiate
réélire,to re-elect
tondre,to shear & to mow
avoir,to have
dénoncer,to denounce
fâcher,to get angry
neiger,to snow
refaire,to redo
tonner,to thunder
avoir besoin,to need
dépasser,to exceed
faillir,to lack
nettoyer,to clean
réfléchir,to think
toquer,to knock
avoir raison,to be right
départir,to accord
faire,to make & to do
neutraliser,to neutralize
refléter,to reflect
tordre,to twist
baisser,to lower
dépêcher,to hurry
falloir,to be necessary
nier,to deny
refuser,to refuse
toucher,to touch & to feel & to affect
balancer,to sway
dépeindre,to depict
feindre,to feign
noircir,to blacken
regarder,to look at
tourner,to turn
balayer,to sweep
dépendre,to depend
féliciter,to congratulate
nommer,to name
regretter,to regret
tousser,to cough
bâtir,to build
dépenser,to spend
fendre,to split & to crack
noter,to write down
rejeter,to reject
tracer,to draw
battre,to beat
déplaire,to displease
fermer,to close
nouer,to tie knot
rejoindre,to rejoin
traduire,to translate
bavarder,to chat
déranger,to disturb
feuilleter,to browse & to skim through
nourrir,to feed
relire,to reread
trahir,to betray
bêler,to whine (like a sheep)
descendre,to descend
fier,to depend on
noyer,to drown
remarquer,to notice
traiter,to treat & to negotiate
bénir,to bless
désirer,to desire & to wish
finir,to finish
nuire,to harm
remercier,to thank
transcrire,to transcribe
blaguer,to joke
désobéir,to disobey
fixer,to fix
obéir,to obey
remettre,to put back (on)
transmettre,to transmit
blâmer,to blame
dessiner,to draw
fonder,to found
obliger,to oblige
remoudre,to regrind
transparaître,to show through
blanchir,to bleach
déteindre,to bleach
fondre,to melt
obtenir,to obtain & to get
remplacer,to replace
travailler,to work
blesser,to hurt & to offend
détenir,to hold
forcer,to force
occlure,to occlude
remplir,to fill
traverser,to cross
boire,to drink
détester,to hate
occuper,to occupy
rencontrer,to meet
tressaillir,to shudder
bouger,to move
détourner,to divert
fouiller,to dig deeply
offrir,to offer
rendre,to give back
tricher,to trick & to cheat
bouillir,to boil
détruire,to destroy
fournir,to furnish & to supply & to provide
oindre,to anoint
renoncer,to renounce
tromper,to deceive & to mislead
briser,to break
développer,to develop
frapper,to knock
omettre,to omit
renouveler,to renew
trouver,to find
brosser,to brush
devenir,to become
frémir,to shudder
oser,to dare
rentrer,to return home
tuer,to kill
broyer,to grind
dévêtir,to undress
frire,to fry
oublier,to forget
renvoyer,to dismiss
tutoyer,to use tu & to call tu
brûler,to burn
deviner,to guess
fuir,to flee
ouvrir,to open
répandre,to spread & to spill
unifier,to unify
cacher,to hide
devoir,to have to
fumer,to smoke
paraître,to seem
reparaître,to reappear
unir,to unite
casser,to break
différer,to differ
gagner,to win & to earn & to gain
parcourir,to cover & to travel
réparer,to repair
user,to wear out
causer,to chat & to cause & to talk
diminuer,to diminish
garder,to keep
pardonner,to forgive
repasser,to iron & to pass again & to pop by again
utiliser,to use
céder,to give up
dîner,to have dinner
gaspiller,to waste
parler,to talk
repeindre,to repaint
vaincre,to defeat
ceindre,to put on
dire,to say
gâter,to spoil
partager,to share
repentir (se),to repent
valoir,to be worth
célébrer,to celebrate
diriger,to direct
geindre,to groan
participer,to participate
repérer,to locate
vanter,to praise
cesser,to cease
discourir,to discourse
geler,to freeze
partir,to leave
répéter,to repeat
varier,to vary
changer,to change
discuter,to discuss
gêner,to bother
parvenir,to reach
répondre,to answer
veiller,to stay up
chanter,to sing
disjoindre,to disconnect
gérer,to manage
passer,to pass & to spend time
reposer,to rest
vendre,to sell
charger,to load
disparaître,to disappear
goûter,to taste
patiner,to skate
reprendre,to take again & to recover & to regain & to have more & to have some more
venger,to avenge
chasser,to hunt & to chase
dissoudre,to dissolve
grandir,to grow
payer,to pay
réprimander,to reprimand
venir,to come
cheminer,to walk on
divorcer,to divorce
gratter,to scratch & to grate
pécher,to sin
reproduire,to reproduce
verdir,to turn green
chercher,to look for
donner,to give
grêler,to hail
pêcher,to fish
résoudre,to resolve
vérifier,to verify
chérir,to cherish
dormir,to sleep
grimper,to climb
peigner,to comb
ressembler,to resemble
verser,to pour
choisir,to choose
doubler,to pass
gronder,to scold
peindre,to paint
ressentir,to feel
vêtir,to clothe
chuchoter,to whisper
douter,to doubt
guérir,to cure
peler,to peel
rester,to remain
vieillir,to age
circoncire,to circumcise
échapper,to escape
habiller,to dress
pendre,to hang
restreindre,to restrict
viser,to aim
circonscrire,to contain
échouer,to fail
habiter,to live
pénétrer,to enter
reteindre,to redye & to recolor
visiter,to visit
circonvenir,to circumvent
éclore,to hatch
haïr,to hate
penser,to think
retenir,to retain
vivre,to live
clore,to close
éconduire,to dismiss
hésiter,to hesitate
percevoir,to perceive
retourner,to return
voiler,to veil
coller,to stick
écouter,to listen
hoqueter,to hiccup
perdre,to lose
réussir,to succeed
voir,to see
combattre,to combat
écraser,to crush
ignorer,to be unaware of & to ignore
périr,to perish
réveiller,to wake up
voler,to steal & to fly
commander,to order
écrire,to write
imposer,to impose
permettre,to permit
révéler,to reveal
voter,to vote
commencer,to begin & to start
effacer,to erase
inclure,to include
persuader,to persuade
revendiquer,to take responsibility
vouloir,to want
commettre,to commit
effrayer,to frighten
indiquer,to indicate
peser,to weigh
revenir,to come back
vouvoyer,to use vous
comparaître,to appear
égayer,to entertain
induire,to mislead
pianoter,to tap (a piano)
rêver,to dream
voyager,to travel
comparer,to compare
élever,to raise
informer,to inform
placer,to put
revêtir,to put on
warranter,to guarantee
compléter,to complete
inquiéter,to worry
plaindre,to pity
revoir,to see again
zébrer,to stripe
comprendre,to understand
riposter,to counteract
zézayer,to lisp
zoner,to zone 
